Size,Bedrooms,People,Electricity,Water,Expense
885,1,2,143,12.8,7100
888,2,2,190,11.2,9436
889,3,3,202,11.7,9876
891,2,1,174,7.8,9268
892,2,2,168,10.1,5771
895,1,2,221,12.1,10025
895,2,3,195,14.0,9984
896,2,2,216,12.9,8798
897,2,1,164,7.1,6795
897,1,2,210,11.5,9223
899,2,2,200,12.9,8367
900,2,2,239,11.4,8882
900,2,1,246,8.3,8915
903,2,3,174,15.7,10283
904,2,3,233,14.8,9385
912,2,3,212,12.2,9168
917,1,1,175,10.3,7660
917,2,3,268,12.7,9891
918,2,2,190,8.9,8440
919,2,2,152,9.8,8589
934,2,3,229,13.6,9798
937,1,3,213,13.7,9111
946,2,2,180,11.5,10324
948,2,4,245,15.3,10175
952,3,3,284,15.6,8007
952,2,3,249,12.7,9306
952,2,1,135,13.6,6848
955,2,2,201,15.2,10763
955,2,3,272,14.4,9695
959,3,4,267,18.0,11472
959,2,4,282,15.1,11510
966,2,2,233,11.5,9428
967,2,3,228,15.7,11134
969,2,3,187,15.2,9863
970,2,3,243,13.3,10654
973,2,2,172,11.3,7863
974,1,2,265,17.2,10641
974,2,3,219,16.8,9240
975,1,2,204,8.9,6655
977,2,2,216,15.5,8778
984,2,1,152,9.3,9205
987,2,3,234,16.1,9138
987,2,3,209,15.3,9033
988,2,2,150,14.2,8927
992,3,4,215,16.1,9220
996,1,2,239,8.2,10501
999,2,4,232,16.8,10871
1002,2,3,288,12.7,10564
1002,2,2,180,12.4,8187
1002,2,2,188,11.2,7519
1004,3,4,246,18.2,12297
1010,2,4,214,23.7,11334
1010,1,2,169,11.8,8382
1012,1,1,154,8.8,7290
1015,2,1,260,10.2,7323
1016,2,2,210,10.8,9289
1017,2,3,237,16.7,10265
1023,2,2,268,12.8,10223
1024,2,4,246,17.2,10174
1025,2,2,226,13.1,8521
1025,2,1,207,10.8,8784
1031,2,2,253,11.1,9348
1036,3,3,245,16.2,10519
1036,2,3,174,14.2,6975
1037,2,4,258,18.9,10397
1039,2,3,195,14.1,8491
1040,2,2,293,12.8,9219
1041,3,4,200,17.5,10838
1046,2,3,223,13.3,9240
1050,1,2,213,13.6,8097
1058,2,2,209,11.6,7274
1059,4,3,164,13.4,9439
1062,2,2,216,9.3,9250
1062,2,4,301,17.0,12444
1063,3,3,259,16.0,11332
1063,2,4,236,15.5,10539
1066,2,3,215,14.5,10846
1069,2,3,164,16.3,10408
1074,2,2,268,12.8,8753
1074,3,3,183,11.9,7612
1074,2,4,249,15.5,11724
1077,1,2,232,13.2,8531
1080,2,2,206,12.5,8790
1086,2,1,225,10.5,9669
1095,2,3,232,11.8,10969
1100,2,3,264,14.8,9984
1100,2,1,233,11.9,8796
1103,2,2,239,12.0,9458
1103,2,4,254,16.0,12214
1106,2,2,225,14.1,10040
1108,2,2,278,16.0,9040
1115,2,2,265,12.6,8866
1116,2,4,325,14.3,10463
1122,2,3,247,17.7,10832
1123,1,1,133,9.8,7871
1123,1,1,191,8.8,7548
1124,2,2,286,12.4,9933
1125,2,3,257,14.5,10946
1127,3,4,259,17.7,11587
1133,2,2,193,10.0,9080
1133,2,2,259,10.9,9004
1135,3,5,232,19.5,11913
1138,2,2,244,10.9,10384
1139,3,4,225,18.8,12730
1140,2,2,238,15.1,9738
1141,3,3,218,13.6,10319
1145,3,3,241,16.3,10130
1146,3,5,284,21.2,13304
1148,1,2,213,12.0,8465
1152,2,3,260,16.4,9585
1153,2,2,246,12.8,10773
1156,3,4,246,16.9,10282
1158,3,4,341,16.9,12169
1159,2,2,211,12.0,10267
1163,2,3,233,16.2,11068
1163,2,3,246,16.1,9999
1166,3,2,228,14.3,10544
1167,2,3,230,14.5,10075
1171,2,3,270,19.8,10903
1173,2,3,213,16.8,9720
1175,3,4,305,17.5,12148
1181,2,3,259,15.1,8624
1181,2,2,231,11.0,10078
1183,2,2,339,14.1,12101
1184,3,3,278,14.1,11309
1184,2,1,179,8.1,8832
1184,2,3,250,16.2,9335
1188,3,3,303,17.5,13152
1189,3,3,202,13.4,10904
1198,2,2,233,15.1,10708
1198,2,2,235,9.8,9197
1199,3,3,224,14.2,11617
1202,3,3,165,13.8,8760
1203,2,4,256,16.4,12138
1208,2,3,280,16.6,12430
1209,2,2,290,10.4,10539
1211,2,3,304,13.4,12116
1213,3,5,339,18.8,14387
1213,3,3,270,17.0,10869
1213,3,4,342,15.9,12117
1216,2,3,236,13.3,10808
1217,2,2,219,16.9,9661
1223,3,3,283,13.5,9694
1224,2,1,242,9.1,9088
1225,2,4,330,17.1,12644
1228,3,4,288,16.0,11590
1228,2,2,300,13.6,9971
1232,3,3,177,15.4,10324
1239,2,2,247,12.0,10850
1240,3,3,250,16.7,10150
1247,3,5,347,22.0,15012
1250,2,3,246,18.1,10894
1253,2,2,205,11.9,7817
1253,2,4,318,17.1,11601
1258,2,3,308,17.8,13239
1258,3,3,277,14.2,9481
1260,2,2,218,11.1,8623
1262,3,4,275,21.4,13184
1262,2,3,234,15.0,10755
1263,3,5,327,20.4,13253
1263,3,3,278,13.7,10487
1266,2,1,263,12.1,7632
1269,2,2,258,15.2,10456
1270,3,3,217,12.9,10839
1273,3,4,287,18.2,12373
1275,2,1,248,14.0,7896
1275,3,4,259,18.7,11122
1279,2,1,262,8.4,9108
1284,2,2,256,11.7,9969
1291,2,1,243,9.7,8534
1293,2,4,284,16.4,11334
1295,3,3,260,13.0,10610
1296,1,2,194,10.7,10196
1297,3,3,235,14.7,11274
1297,2,1,290,6.3,9647
1304,2,2,262,14.3,10718
1314,3,3,315,13.3,13456
1314,2,2,252,13.5,9988
1314,2,3,235,15.0,10919
1315,3,3,281,15.6,11505
1315,3,4,262,20.1,12707
1315,2,2,265,12.3,10689
1320,3,4,242,19.1,11971
1323,3,3,277,16.6,10166
1325,2,3,267,14.7,10913
1327,2,3,253,15.2,11461
1328,2,3,230,15.7,10648
1330,3,3,282,15.7,12220
1333,3,3,255,16.0,10910
1335,3,3,237,17.7,11184
1337,2,2,264,14.2,11549
1346,3,3,279,14.0,11388
1350,3,3,321,14.4,10841
1351,3,4,219,15.6,12127
1352,3,3,304,14.1,11779
1353,3,3,230,17.1,9776
1354,3,4,336,16.3,12020
1360,2,2,299,8.8,10833
1363,3,4,338,17.0,12676
1368,2,2,257,14.7,11068
1370,3,5,275,20.1,13477
1372,3,3,295,16.5,10259
1372,3,3,295,14.3,12023
1375,2,4,239,15.3,10858
1376,2,2,260,14.2,10556
1376,3,3,300,17.7,12001
1376,3,3,269,16.4,11866
1377,3,3,318,16.9,11193
1378,3,4,256,18.1,11092
1380,3,3,216,15.7,10407
1380,3,3,288,15.4,11043
1382,3,3,307,13.6,11841
1384,3,4,229,17.4,10986
1394,4,4,294,19.0,12069
1395,4,6,368,23.5,15406
1396,2,2,216,14.1,12258
1399,3,3,267,17.5,11601
1401,2,3,260,16.7,12338
1418,3,3,247,17.8,10807
1419,3,5,266,20.9,13056
1420,3,3,279,16.5,11977
1422,3,3,239,16.1,11527
1424,3,2,214,12.3,10780
1428,3,4,297,16.0,12613
1428,3,3,251,16.7,9816
1433,3,4,333,16.9,11687
1435,3,4,334,20.2,14599
1436,3,3,258,17.7,12616
1438,3,4,284,20.2,12852
1446,3,5,307,20.1,14132
1450,3,3,303,15.7,10652
1453,3,3,299,17.6,13068
1454,3,4,296,20.0,13607
1454,2,2,249,12.2,9129
1455,3,2,256,10.4,9486
1456,4,4,317,18.7,13390
1456,3,3,227,15.6,11108
1457,3,5,314,21.0,13622
1459,3,4,329,18.0,12976
1460,3,4,359,20.5,12972
1467,3,4,310,19.0,13450
1471,3,4,261,18.9,13563
1472,4,5,347,19.8,14085
1475,3,3,269,11.1,12291
1477,3,4,258,17.7,13146
1480,2,4,301,19.7,12674
1484,3,3,339,15.5,11676
1491,3,4,318,16.6,13350
1492,3,3,307,17.4,12570
1492,4,6,361,21.7,14588
1495,3,5,320,22.4,14853
1496,3,3,293,11.7,10748
1508,3,4,275,17.0,13963
1508,3,4,354,15.7,13912
1512,3,4,299,21.5,14059
1513,3,2,253,15.7,11909
1515,2,2,258,14.8,10973
1515,2,2,273,14.3,10335
1516,3,4,367,20.8,14216
1516,3,5,316,20.1,13346
1519,3,5,372,16.2,14970
1520,3,4,315,19.9,12208
1521,3,3,298,16.7,10260
1526,3,4,257,21.7,11613
1528,4,3,273,18.8,11858
1528,3,3,250,16.8,11065
1528,3,3,266,16.0,12568
1530,3,3,264,16.8,12833
1531,3,2,242,10.9,11108
1535,4,6,349,23.5,15022
1538,3,5,294,20.4,12647
1545,3,4,243,18.3,11667
1546,3,3,284,18.0,12148
1549,3,3,299,19.3,12651
1551,4,5,337,22.4,16657
1559,3,3,336,14.2,9640
1560,3,2,252,12.3,11302
1562,3,4,310,18.4,10665
1562,3,3,297,14.2,12196
1563,3,2,246,12.6,11533
1565,3,3,236,15.5,11853
1565,3,3,348,16.3,12222
1566,2,2,224,10.9,8934
1569,4,5,350,22.9,14794
1576,3,3,272,17.1,12142
1576,3,4,328,19.8,14237
1577,4,4,334,20.2,15246
1577,3,3,225,17.6,12220
1579,3,4,290,20.5,13658
1581,3,4,271,17.8,13868
1581,3,3,255,15.7,12106
1581,4,5,289,20.3,13675
1582,4,4,256,17.6,15315
1592,4,4,318,20.9,13970
1595,4,4,270,18.8,13174
1601,3,4,271,17.5,12739
1615,4,4,318,18.1,14733
1618,3,4,346,17.6,14579
1619,4,5,312,22.2,13095
1620,3,5,339,24.2,16979
1622,3,4,298,21.8,12769
1626,3,3,291,17.9,14415
1629,4,4,278,16.7,13429
1629,3,4,267,16.2,12824
1630,3,4,336,18.5,13101
1636,4,3,357,15.5,12975
1639,4,5,353,22.7,14500
1640,3,3,360,16.2,13850
1641,2,3,292,16.4,10709
1641,3,2,274,10.7,10926
1641,3,4,336,17.5,14226
1644,3,4,302,18.8,13024
1645,3,4,341,17.3,12990
1647,4,5,294,19.2,15312
1648,3,2,267,12.7,11528
1650,3,5,328,22.0,14269
1652,3,2,204,14.1,10739
1653,4,4,311,16.3,12549
1654,3,5,365,20.4,14294
1655,3,4,345,16.9,12589
1656,3,3,346,15.2,11789
1658,4,5,293,20.8,13512
1660,2,3,258,13.7,11683
1660,3,3,348,18.2,12341
1662,3,3,281,17.3,11240
1666,3,5,388,22.2,15693
1666,3,3,308,18.2,12308
1667,4,5,300,25.7,14129
1668,4,5,393,19.7,14291
1669,3,5,322,19.6,13593
1672,3,4,366,19.4,13601
1680,3,3,274,20.1,13553
1683,2,1,263,10.0,9325
1683,3,3,306,16.4,11595
1684,3,4,310,18.2,13094
1684,4,4,341,16.9,13488
1691,4,4,304,22.4,13202
1691,3,5,342,21.6,14415
1691,3,4,340,18.6,13499
1697,4,6,339,27.4,16045
1702,3,5,310,22.2,14498
1702,3,5,399,23.3,14660
1705,3,3,276,18.3,11961
1705,3,4,345,16.6,13216
1705,4,6,338,24.5,16581
1709,3,3,341,14.7,12291
1712,3,2,286,14.7,12282
1714,3,5,351,21.4,13941
1715,3,4,340,20.4,13273
1715,3,4,335,18.6,14727
1715,3,3,202,17.2,10588
1717,4,4,298,17.0,13736
1718,3,4,312,20.5,13896
1719,4,4,296,19.7,15042
1724,4,5,346,20.5,14835
1727,3,4,326,20.5,13371
1738,3,4,383,20.6,13112
1738,3,5,331,21.3,13771
1740,3,4,298,19.5,13376
1743,3,3,296,17.7,11332
1743,3,3,346,17.5,13417
1743,3,4,300,19.4,13487
1746,3,3,272,17.8,13730
1748,3,4,272,18.7,14298
1750,4,5,335,21.4,15175
1752,4,4,304,16.2,12895
1752,4,5,284,19.5,12800
1752,4,4,301,17.2,13906
1754,4,3,326,16.9,13470
1754,4,5,320,22.1,14701
1756,4,3,318,15.8,13579
1757,4,4,363,20.6,14658
1762,3,3,336,17.3,12885
1767,3,3,356,13.1,11636
1775,4,4,320,22.2,14349
1776,4,6,429,20.5,16687
1777,4,5,384,22.2,15485
1780,3,4,347,19.6,13675
1782,4,4,321,22.7,13485
1791,3,3,360,19.1,12761
1791,3,5,364,18.0,14669
1794,4,4,355,16.4,15036
1796,4,4,374,19.3,15141
1796,4,4,291,20.6,14115
1797,4,5,370,21.8,15147
1800,4,4,357,17.7,14075
1805,4,4,351,18.8,12012
1806,4,5,362,20.8,14646
1812,4,5,345,23.7,14812
1812,3,4,338,20.8,14146
1812,4,4,336,22.4,14758
1814,3,5,390,18.4,15539
1818,3,4,356,17.1,14209
1819,4,5,393,21.5,13561
1824,4,4,289,21.1,12286
1827,4,5,437,22.9,17279
1829,3,3,335,16.7,13232
1831,3,3,326,16.5,12681
1832,4,4,279,16.7,14437
1835,4,3,359,18.6,12348
1842,4,4,288,20.9,14696
1846,3,3,338,17.3,11825
1847,4,5,390,24.0,16277
1848,3,3,366,19.7,14577
1853,4,6,369,23.7,16846
1853,4,3,332,12.5,14469
1854,3,4,362,20.7,13325
1858,3,2,264,13.8,12508
1858,3,4,331,21.0,14770
1863,3,3,335,15.0,14031
1863,4,4,323,19.2,14858
1865,3,3,303,17.6,14307
1865,4,4,294,20.2,13765
1867,4,3,331,15.7,11987
1869,4,5,426,19.1,14886
1869,5,6,427,27.0,18280
1871,5,6,375,25.5,16903
1872,4,5,322,21.7,14818
1884,4,4,343,20.8,13502
1888,4,5,356,21.3,16303
1890,4,5,350,25.5,14086
1890,4,6,375,24.2,16903
1896,4,4,328,20.8,13619
1900,4,5,382,21.1,15620
1908,4,6,391,22.1,16408
1909,3,4,376,21.1,13817
1915,4,4,305,18.5,13263
1915,4,5,406,22.5,15079
1916,3,3,315,16.8,12913
1928,4,5,364,24.4,15975
1930,3,4,294,19.3,12416
1933,3,5,368,24.4,13597
1934,4,5,375,22.1,15523
1938,4,5,386,26.4,16252
1939,4,4,332,20.3,13771
1940,4,5,343,19.3,15882
1943,4,4,324,22.1,14525
1945,3,4,330,18.3,15811
1945,4,5,380,24.3,15106
1958,4,5,391,22.5,16676
1960,4,4,338,20.1,14846
1960,4,4,346,17.4,13978
1964,4,3,316,16.2,15079
1969,4,5,369,20.7,15248
1970,4,6,459,26.7,17757
1971,3,4,357,24.0,14487
1973,4,4,398,20.7,15189
1978,4,4,363,19.6,15770
1979,4,5,358,20.7,15574
1982,3,3,343,17.9,13614
1984,3,4,353,17.2,12248
1984,4,5,370,21.3,15173
1985,4,4,342,18.6,14355
1989,4,6,436,24.0,15761
1992,3,3,290,16.5,13775
1993,4,5,340,22.0,15182
1995,4,5,369,24.7,15289
1995,4,5,377,23.1,16152
1996,4,4,411,21.1,13762
1996,4,4,332,20.6,14307
2000,4,5,342,21.4,16373
2000,4,6,394,27.4,17932
2004,4,4,401,15.5,15030
2015,3,3,358,14.6,13942
2016,4,4,375,21.6,14727
2019,5,7,409,26.7,19202
2020,5,4,307,17.8,15230
2022,4,4,282,22.6,15200
2026,4,5,328,24.5,17335
2027,4,4,441,16.9,15547
2028,4,6,332,25.6,16321
2029,5,6,402,25.3,18273
2029,4,4,306,18.7,14882
2031,4,4,360,18.1,14628
2031,4,5,345,21.7,15672
2034,4,5,388,22.2,16371
2040,5,5,359,19.2,16284
2041,4,4,243,19.9,12378
2042,4,4,424,20.0,14261
2048,4,5,400,23.4,15261
2049,4,4,388,21.2,15169
2055,4,5,391,19.5,17046
2068,5,6,484,26.6,19962
2070,4,4,399,17.9,14596
2070,5,6,425,24.1,17440
2071,4,5,402,21.9,16099
2073,4,4,323,19.0,15622
2074,4,5,299,22.9,15463
2079,5,5,343,24.8,15815
2081,4,5,385,20.7,14784
2085,4,4,408,18.9,15542
2089,4,4,386,20.4,15515
2095,4,5,377,24.5,15872
2097,3,4,388,18.8,14745
2103,3,3,384,18.8,13449
2103,4,6,375,28.0,17520
2104,4,4,354,20.0,13734
2105,4,3,386,16.0,15292
2117,5,7,455,22.3,19913
2119,5,7,460,27.4,19266
2125,4,6,436,27.6,18313
2125,5,7,368,28.6,19168
2129,4,3,380,17.0,13183
2130,4,4,392,19.5,15097
2130,4,3,325,18.8,13992
2131,5,4,354,17.1,14716
2131,4,4,395,20.2,15327
2133,4,5,387,24.5,16763
2134,4,5,397,23.7,16156
2135,5,4,326,18.9,11964
2135,4,5,388,23.3,16411
2136,4,5,408,20.8,16779
2136,5,5,420,27.3,17219
2136,4,4,327,19.0,13435
2136,5,5,397,24.1,18018
2138,4,4,426,19.5,16830
2139,4,5,375,20.5,16064
2143,4,3,359,15.7,13946
2145,4,5,362,22.8,16613
2146,4,6,360,25.0,18323
2146,5,7,403,23.1,17817
2148,4,5,410,21.2,16182
2149,5,5,380,20.7,15175
2154,4,6,409,21.8,17158
2158,5,5,352,22.3,17135
2161,3,3,335,16.9,14055
2163,4,4,422,20.7,14864
2163,5,4,405,22.1,16850
2164,4,5,394,20.7,15311
2168,4,5,401,22.3,15156
2168,4,5,420,24.6,16040
2169,4,3,368,17.3,16882
2173,6,7,430,27.9,20528
2176,5,6,334,23.7,17815
2178,4,4,334,19.5,15383
2179,5,5,361,18.2,15215
2180,5,5,417,21.3,16169
2182,4,4,381,19.9,15930
2182,4,4,366,20.5,15603
2182,5,6,357,23.9,18203
2183,5,5,372,23.8,15980
2183,4,4,334,18.7,13518
2185,4,5,458,22.7,15890
2186,4,5,394,21.8,16462
2187,5,5,400,26.0,17849
2187,4,4,401,19.4,14707
2192,4,5,421,20.8,17174
2193,4,4,319,20.3,15396
2193,5,6,415,22.2,16926
2195,5,5,429,22.5,16049
2196,4,5,403,22.6,16251
2198,5,6,407,24.6,18086
2199,4,5,365,21.7,15458
2204,4,5,376,22.2,16418
2205,5,5,381,21.9,17177
2207,5,7,421,26.9,18867
2215,4,3,334,19.2,14990
2215,5,5,418,23.2,17515
2219,4,4,343,20.7,15446
2222,4,4,443,22.6,16446
2233,5,6,411,21.1,19210
2233,4,4,362,19.1,13927
2234,5,5,404,23.4,17604
2251,5,5,324,21.7,17001
2253,5,7,392,27.1,19020
2255,4,5,386,22.9,16285
2257,4,4,356,17.4,16570
2257,4,5,379,22.3,15742
2258,5,6,345,23.3,18339
2259,5,6,384,24.3,17593
2261,4,5,359,19.6,17840
2268,5,5,436,25.0,16866
2268,4,6,404,26.3,17048
2272,5,6,426,26.1,19129
2273,4,5,431,25.7,17073
2274,5,5,409,22.7,17042
2281,5,6,416,26.5,17136
2282,5,5,432,23.8,18288
2285,5,4,390,20.2,15369
2287,5,4,346,20.9,16216
2292,5,5,401,23.6,16292
2294,5,5,345,25.2,17429
2296,5,5,379,21.1,16730
2299,5,5,372,21.5,15749
2302,5,5,348,22.3,17736
2302,4,5,438,22.3,18578
2306,3,5,433,25.2,17506
2310,5,5,347,25.0,18687
2310,4,5,357,26.6,17766
2310,5,5,432,27.3,18176
2316,5,5,389,22.4,17208
2319,4,3,364,17.3,15483
2319,5,4,348,17.1,15595
2321,4,4,363,20.6,15462
2323,4,5,414,23.2,17066
2323,5,7,429,24.5,18507
2324,4,5,468,22.0,18853
2327,5,6,419,24.2,18046
2328,4,5,407,24.4,18144
2334,5,7,381,29.2,18472
2336,4,5,394,22.1,16905
2338,5,6,413,27.4,19236
2341,4,4,375,21.0,16001
2343,5,5,380,21.7,16915
2348,6,7,498,27.2,18738
2351,5,5,401,23.9,15899
2352,5,6,491,23.5,17707
2353,3,5,369,24.3,15596
2353,5,6,386,22.8,16815
2354,5,5,373,25.5,16229
2355,5,5,414,23.5,16107
2356,5,5,432,24.9,17985
2357,5,5,379,23.5,18288
2363,6,6,415,27.1,18010
2363,4,5,374,21.5,16353
2363,5,6,430,26.6,17507
2365,6,6,429,27.3,20113
2365,5,6,426,24.2,16583
2370,4,5,462,21.5,19169
2375,5,6,333,23.7,18669
2381,5,6,414,23.3,18009
2381,5,6,437,25.6,17427
2384,6,8,477,33.2,20908
2387,4,3,369,15.9,14990
2388,5,5,409,19.2,17498
2390,4,4,411,20.2,14438
2390,4,5,382,24.0,15952
2392,6,5,437,22.7,18867
2393,5,5,406,23.1,17996
2395,6,7,457,28.1,20264
2395,5,5,391,22.9,17353
2399,5,6,413,21.7,17473
2400,4,5,333,24.7,16018
2401,4,6,368,23.7,17542
2403,5,5,420,25.0,18853
2406,4,4,447,21.1,15885
2406,4,5,451,20.4,16794
2406,4,6,440,24.7,16779
2408,4,5,450,24.1,18176
2417,5,4,388,21.3,16186
2419,5,5,373,24.7,16833
2419,5,5,402,19.9,17104
2423,5,6,485,24.9,17924
2428,5,7,534,25.2,19010
2430,4,4,421,20.0,16868
2431,4,5,420,21.8,17511
2431,4,4,434,22.5,15453
2432,5,5,452,23.9,16921
2434,5,6,488,24.7,19629
2435,4,4,380,18.3,13960
2442,6,6,394,24.3,21035
2443,5,5,428,22.3,15936
2444,5,4,389,20.4,17804
2446,4,6,426,25.2,17328
2455,4,5,434,23.4,16717
2455,5,6,412,24.7,15901
2455,5,5,401,22.1,18166
2458,5,5,454,23.4,18156
2459,5,5,390,22.2,16885
2468,6,6,439,27.6,19719
2469,5,5,349,25.9,17179
2469,5,5,429,24.0,19142
2469,6,6,399,24.9,19073
2470,6,7,491,26.9,19508
2474,5,5,433,26.0,17858
2475,5,4,425,21.4,17686
2476,5,7,353,28.1,18810
2481,5,6,477,22.5,17350
2481,5,5,473,22.4,18507
2482,5,6,463,24.9,18334
2484,5,7,467,26.3,18402
2486,5,4,422,22.3,16538
2489,5,5,509,24.8,18739
2494,5,5,444,24.4,17064
2494,5,6,438,25.1,18437
2496,5,7,444,26.1,18740
2497,4,5,460,24.1,18290
2498,5,5,465,26.2,17770
2500,5,6,430,25.9,17964
2506,5,5,404,21.5,18643
2517,5,6,419,26.5,18519
2521,5,5,505,22.4,17321
2526,5,5,314,20.5,15549
2527,5,5,435,25.6,17958
2535,6,6,456,22.5,18352
2536,5,7,469,30.4,20626
2538,5,6,413,23.0,17915
2538,6,6,441,26.5,18470
2539,6,6,477,25.2,21545
2541,5,7,500,31.4,21183
2547,6,7,424,27.6,20529
2548,4,5,438,23.0,17867
2548,5,6,451,24.9,19524
2549,5,5,485,21.3,18824
2552,6,7,461,28.5,20436
2555,6,6,442,27.0,19639
2556,6,7,411,28.0,17049
2560,5,6,479,29.7,18786
2561,6,6,482,27.9,20382
2562,5,5,349,24.5,17668
2562,5,6,469,27.7,19191
2565,5,4,417,21.2,16446
2568,5,6,434,24.2,18672
2570,5,4,404,21.9,17309
2570,5,7,498,26.6,20006
2572,5,5,484,23.3,19496
2574,5,5,445,23.2,17500
2575,5,6,465,28.2,18134
2576,6,7,496,29.0,20000
2581,5,6,418,26.3,18093
2581,5,7,409,28.1,19657
2582,5,6,454,24.5,18063
2585,5,5,408,21.1,17668
2588,4,3,311,21.7,16446
2594,5,6,413,26.9,19609
2594,5,6,457,24.6,19312
2594,5,6,409,25.3,19582
2600,5,7,432,29.3,18160
2601,5,4,434,22.2,17274
2605,5,6,409,24.4,18873
2609,5,6,506,24.8,18731
2616,5,4,387,20.0,17048
2622,6,5,430,21.3,17798
2622,5,4,459,18.7,18679
2625,5,6,451,26.1,17362
2628,5,5,427,26.3,18966
2633,5,5,516,23.4,20643
2635,5,6,356,24.7,18249
2636,4,5,374,24.1,17222
2637,6,7,465,30.6,20192
2639,5,5,551,23.0,19244
2641,6,6,514,29.8,20850
2642,5,7,466,25.3,20341
2642,6,7,434,31.4,21784
2643,5,4,413,21.2,16667
2645,5,5,467,23.8,18223
2646,6,6,511,24.9,19053
2646,6,6,489,25.2,19806
2650,6,7,480,29.0,22838
2651,6,6,461,23.7,20241
2652,6,7,468,25.6,21327
2656,5,6,443,25.5,19006
2656,6,6,455,26.5,18640
2658,5,5,419,22.6,17877
2658,5,6,434,28.6,20081
2660,4,4,449,21.6,16564
2665,5,6,437,26.8,17604
2669,5,6,458,26.0,18097
2673,5,6,492,24.7,19020
2680,6,6,378,25.7,19613
2682,5,7,533,28.2,20985
